best,bks,config,fe_of_best,gap,gen_of_best,generations,instance,n_routes,respects_k,seed,wall,p_dup,p_ls_cap_fe,p_ls_clones,p_pop_size,p_tau_b
1331,1316,K2c5000_d3_t10,249463,1.14,25,36,B-n66-k9,9,True,102,6.16,3,5000,2,15,10
1115,1067,K2c5000_d3_t10,226050,4.499,23,35,E-n101-k14,14,True,100,11.37,3,5000,2,15,10
1109,1067,K2c5000_d3_t10,216011,3.936,22,35,E-n101-k14,14,True,101,11.03,3,5000,2,15,10
1118,1067,K2c5000_d3_t10,346603,4.78,35,35,E-n101-k14,14,True,102,11.18,3,5000,2,15,10
726,681,K2c5000_d3_t10,135645,6.608,14,35,P-n101-k4,4,True,100,9.84,3,5000,2,15,10
730,681,K2c5000_d3_t10,296381,7.195,30,35,P-n101-k4,4,True,101,9.47,3,5000,2,15,10
726,681,K2c5000_d3_t10,125600,6.608,13,35,P-n101-k4,4,True,102,9.72,3,5000,2,15,10
1359,1354,K3c5000_d3_t20,259056,0.369,18,24,A-n60-k9,9,True,100,3.99,3,5000,3,15,20
1359,1354,K3c5000_d3_t20,336497,0.369,23,24,A-n60-k9,9,True,101,3.97,3,5000,3,15,20
1354,1354,K3c5000_d3_t20,185600,0.0,13,24,A-n60-k9,9,True,102,3.98,3,5000,3,15,20
1339,1316,K3c5000_d3_t20,265827,1.748,18,24,B-n66-k9,9,True,100,4.58,3,5000,3,15,20
1331,1316,K3c5000_d3_t20,260825,1.14,18,24,B-n66-k9,9,True,101,4.6,3,5000,3,15,20
1339,1316,K3c5000_d3_t20,220690,1.748,15,24,B-n66-k9,9,True,102,4.63,3,5000,3,15,20
1118,1067,K3c5000_d3_t20,290915,4.78,20,24,E-n101-k14,14,True,100,8.08,3,5000,3,15,20
1121,1067,K3c5000_d3_t20,305960,5.061,21,24,E-n101-k14,14,True,101,7.99,3,5000,3,15,20
1118,1067,K3c5000_d3_t20,295915,4.78,20,24,E-n101-k14,14,True,102,8.2,3,5000,3,15,20
724,681,K3c5000_d3_t20,350000,6.314,24,24,P-n101-k4,4,True,100,6.61,3,5000,3,15,20
715,681,K3c5000_d3_t20,270825,4.993,18,24,P-n101-k4,4,True,101,6.7,3,5000,3,15,20
705,681,K3c5000_d3_t20,336050,3.524,23,24,P-n101-k4,4,True,102,6.59,3,5000,3,15,20
1360,1354,K3c5000_d3_t10,65240,0.443,5,24,A-n60-k9,9,True,100,3.99,3,5000,3,15,10
1361,1354,K3c5000_d3_t10,297948,0.517,20,24,A-n60-k9,9,True,101,3.98,3,5000,3,15,10
1354,1354,K3c5000_d3_t10,185600,0.0,13,24,A-n60-k9,9,True,102,3.91,3,5000,3,15,10
1342,1316,K3c5000_d3_t10,290917,1.976,20,24,B-n66-k9,9,True,100,4.47,3,5000,3,15,10
1332,1316,K3c5000_d3_t10,265825,1.216,18,24,B-n66-k9,9,True,101,4.57,3,5000,3,15,10
1339,1316,K3c5000_d3_t10,220690,1.748,15,24,B-n66-k9,9,True,102,4.77,3,5000,3,15,10
1121,1067,K3c5000_d3_t10,305980,5.061,21,24,E-n101-k14,14,True,100,8.51,3,5000,3,15,10
1114,1067,K3c5000_d3_t10,215690,4.405,15,24,E-n101-k14,14,True,101,8.08,3,5000,3,15,10
1121,1067,K3c5000_d3_t10,70240,5.061,5,24,E-n101-k14,14,True,102,8.46,3,5000,3,15,10
730,681,K3c5000_d3_t10,125420,7.195,9,24,P-n101-k4,4,True,100,6.71,3,5000,3,15,10
707,681,K3c5000_d3_t10,321005,3.818,22,24,P-n101-k4,4,True,101,6.82,3,5000,3,15,10
734,681,K3c5000_d3_t10,321011,7.783,22,24,P-n101-k4,4,True,102,6.88,3,5000,3,15,10
