best,bks,config,fe_of_best,gap,gen_of_best,generations,instance,n_routes,respects_k,seed,wall,p_ls_cap_fe,p_ls_clones
721,681,K2_cap5000,265825,5.874,27,35,P-n101-k4,4,True,101,4.17,5000,2
735,681,K2_cap5000,225705,7.93,23,35,P-n101-k4,4,True,102,4.1,5000,2
1362,1354,K4_cap1500,269878,0.591,45,59,A-n60-k9,9,True,100,2.5,1500,4
1384,1354,K4_cap1500,322635,2.216,54,59,A-n60-k9,9,True,101,2.5,1500,4
1391,1354,K4_cap1500,262340,2.733,44,59,A-n60-k9,9,True,102,2.54,1500,4
1372,1316,K4_cap1500,206565,4.255,35,59,B-n66-k9,9,True,100,2.74,1500,4
1365,1316,K4_cap1500,327165,3.723,55,59,B-n66-k9,9,True,101,2.8,1500,4
1341,1316,K4_cap1500,212595,1.9,36,59,B-n66-k9,9,True,102,2.76,1500,4
1124,1067,K4_cap1500,164357,5.342,28,59,E-n101-k14,14,True,100,3.64,1500,4
1128,1067,K4_cap1500,98025,5.717,17,59,E-n101-k14,14,True,101,3.83,1500,4
1128,1067,K4_cap1500,19635,5.717,4,59,E-n101-k14,14,True,102,3.72,1500,4
742,681,K4_cap1500,196005,8.957,33,59,P-n101-k4,4,True,100,6.01,1500,4
743,681,K4_cap1500,182459,9.104,31,59,P-n101-k4,4,True,101,6.11,1500,4
743,681,K4_cap1500,242759,9.104,41,59,P-n101-k4,4,True,102,6.24,1500,4
